code,current,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country
1544421,TRUE,VENKATESAN Subha,VENKATESAN S,Subha VENKATESAN,Female,Athlete,IND,India,India,India,India,IND,170,0,['Athletics'],"[""Women's 4 x 400m Relay""]",31-Aug-1999,Unknown,Unknown,Unknown,Unknown
1544423,TRUE,DANDI Jyothika Sri,DANDI JS,Jyothika Sri DANDI,Female,Athlete,IND,India,India,India,India,IND,170,0,['Athletics'],"[""Women's 4 x 400m Relay""]",16-Jul-2000,Unknown,Unknown,Unknown,Unknown
1544424,TRUE,LALAYAN Varazdat,LALAYAN V,Varazdat LALAYAN,Male,Athlete,ARM,Armenia,Armenia,Armenia,Armenia,ARM,0,0,['Weightlifting'],"[""Men's +102kg""]",01-May-1999,Unknown,Unknown,Unknown,Unknown
1544425,TRUE,ANKITA,ANKITA,ANKITA,Female,Athlete,IND,India,India,India,India,IND,160,0,['Athletics'],"[""Women's 5000m""]",05-Feb-2002,UTTARAKHAND,India,Unknown,Unknown
1544434,TRUE,JEGOU Liam,JEGOU L,Liam JEGOU,Male,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,0,0,['Canoe Slalom'],"[""Men's Canoe Single"", ""Men's Kayak Cross""]",09-Jan-1996,BRITTANY,France,PAU,France
1544436,TRUE,BOLES Claire,BOLES C,Claire BOLES,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,169,70,['Rugby Sevens'],['Women'],28-May-1998,"ENNISKILLEN, NORTHERN IRELAND",Great Britain,Unknown,Unknown
1544444,TRUE,RAFTERY Jack,RAFTERY J,Jack RAFTERY,Male,Alternate Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,201,0,['Athletics'],['4 x 400m Relay Mixed'],26-Apr-2001,Unknown,Unknown,Unknown,Unknown
1544445,TRUE,BARR Thomas,BARR T,Thomas BARR,Male,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,183,0,['Athletics'],['4 x 400m Relay Mixed'],24-Jul-1992,WATERFORD,Ireland,LIMERICK,Ireland
1544447,TRUE,O'CONNOR Kate,O'CONNOR K,Kate O'CONNOR,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,174,0,['Athletics'],"[""Women's Heptathlon""]",12-Dec-2000,NEWRY,Great Britain,DUNDALK,Ireland
1544448,TRUE,O'DONNELL Christopher,O'DONNELL C,Christopher O'DONNELL,Male,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,183,0,['Athletics'],['4 x 400m Relay Mixed'],17-May-1998,SLIGO,Ireland,LOUGHBOROUGH,Great Britain
1544449,TRUE,FITZPATRICK Alanna,FITZPATRICK A,Alanna FITZPATRICK,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,167,64,['Rugby Sevens'],['Women'],17-Oct-2004,PORTARLINGTON,Ireland,PORTARLINGTON,Ireland
1544454,TRUE,LYNCH Daire,LYNCH D,Daire LYNCH,Male,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,0,0,['Rowing'],"[""Men's Double Sculls""]",19-Jun-1998,Unknown,Unknown,"NEW YORK, NY",United States
1544460,TRUE,LAMBE Eimear,LAMBE E,Eimear LAMBE,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,0,0,['Rowing'],"[""Women's Four""]",11-Aug-1997,DUBLIN,Ireland,Unknown,Unknown
1544461,TRUE,HYDE Zoe,HYDE Z,Zoe HYDE,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,0,0,['Rowing'],"[""Women's Double Sculls""]",31-Jan-1997,Unknown,Ireland,Unknown,Ireland
1544462,TRUE,CREMEN Margaret,CREMEN M,Margaret CREMEN,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,0,0,['Rowing'],"[""Lightweight Women's Double Sculls""]",05-Jan-1999,Unknown,Unknown,ROCHESTOWN,Ireland
1544471,TRUE,CHAUDHARY Parul,CHAUDHARY P,Parul CHAUDHARY,Female,Athlete,IND,India,India,India,India,IND,162,0,['Athletics'],"[""Women's 3000m Steeplechase"", ""Women's 5000m""]",15-Apr-1995,IKALUTA VILLAGE,India,MUMBAI,India
1544479,TRUE,KIRAN Pahal,KIRAN P,Pahal KIRAN,Female,Athlete,IND,India,India,India,India,IND,172,0,['Athletics'],"[""Women's 400m"", ""Women's 4 x 400m Relay""]",05-Aug-2000,ROHTAK,India,Unknown,Unknown
1544485,TRUE,RANI Annu,RANI A,Annu RANI,Female,Athlete,IND,India,India,India,India,IND,162,0,['Athletics'],"[""Women's Javelin Throw""]",29-Aug-1992,BAHADARPUR VILLAGE,India,BAHADARPUR VILLAGE,India
